"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","tau","name","fm_use","fm_delta"
"127","(Intercept)",-1.35228514517174,0.0127568389038249,-106.004720712299,0,-1.37728831769717,-1.32728197264631,0.1,"rq_zdilligence_junior_0.1",NA,NA
"128","relative_age",0.0163688060186016,0.00532268602294619,3.07529054842526,0.00210340241015716,0.00593643809942197,0.0268011739377813,0.1,"rq_zdilligence_junior_0.1",NA,NA
"129","I(relative_age^2)",-0.000818440301932031,0.000465706365811964,-1.75741703789054,0.0788490535133746,-0.00173121631943706,9.43357155729937e-05,0.1,"rq_zdilligence_junior_0.1",NA,NA
"130","(Intercept)",0.0761402313172189,0.00557292113548953,13.6625352245417,0,0.0652174071229376,0.0870630555115001,0.5,"rq_zdilligence_junior_0.5",NA,NA
"131","relative_age",0.00673251510794014,0.00232525546951587,2.89538727946392,0.00378752673050431,0.00217505662560658,0.0112899735902737,0.5,"rq_zdilligence_junior_0.5",NA,NA
"132","I(relative_age^2)",-0.000374028614249877,0.000203447332723419,-1.83845425370289,0.0659977270799768,-0.000772781690797433,2.4724462297679e-05,0.5,"rq_zdilligence_junior_0.5",NA,NA
"133","(Intercept)",1.16629421898984,0.00851152675786787,137.025266108897,0,1.14961178115503,1.18297665682465,0.9,"rq_zdilligence_junior_0.9",NA,NA
"134","relative_age",0.0105746284119885,0.00355136447591671,2.9776240889099,0.00290544402188431,0.00361401854919582,0.0175352382747811,0.9,"rq_zdilligence_junior_0.9",NA,NA
"135","I(relative_age^2)",-0.000556559390216814,0.000310725268524748,-1.7911623115147,0.0732695270003538,-0.00116557527224733,5.24564918137015e-05,0.9,"rq_zdilligence_junior_0.9",NA,NA
"136","(Intercept)",-1.24960551679543,NA,NA,NA,-1.27249872190445,-1.2316367706188,0.1,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"137","relative_age",0.0366738185701509,NA,NA,NA,0.0320567695998817,0.0414827911339045,0.1,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"138","I(relative_age^2)",-0.00105289113596936,NA,NA,NA,-0.00145182200742461,-0.000597918893249161,0.1,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"139","(Intercept)",-0.18345008490347,NA,NA,NA,-0.204182317212666,-0.169281935659087,0.5,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"140","relative_age",0.037027019515516,NA,NA,NA,0.0348673100482103,0.0403743040745336,0.5,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"141","I(relative_age^2)",-0.00104001745627704,NA,NA,NA,-0.00135089513781629,-0.00082354978948204,0.5,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"142","(Intercept)",0.866460241402642,NA,NA,NA,0.835864460469121,0.893660119479413,0.9,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"143","relative_age",0.0375213057559183,NA,NA,NA,0.0315896656776405,0.0445943301571074,0.9,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"144","I(relative_age^2)",-0.000684225048468324,NA,NA,NA,-0.00128597423458127,-0.000227842254900935,0.9,"rqboot_zgakuryoku_prime","zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"145","(Intercept)",-1.39820236854992,NA,NA,NA,-1.46311105300098,-1.28139776481546,0.1,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"146","relative_age",0.0404364930937856,NA,NA,NA,0.018355994768592,0.0471130215917026,0.1,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"147","I(relative_age^2)",-0.00132988904331459,NA,NA,NA,-0.00985244580478825,0.0147999643370587,0.1,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"148","(Intercept)",-0.192028946805525,NA,NA,NA,-0.87582257672387,-0.076710145234712,0.5,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"149","relative_age",0.041929613946484,NA,NA,NA,0.0350167213146127,0.130078560062827,0.5,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"150","I(relative_age^2)",-0.00135863703596631,NA,NA,NA,-0.00888098581982246,0.0285164908496921,0.5,"rqboot_zkokugo_level_prime","zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
